Country / Region,Financial_Year,Trade_Value_Crore,Year,Trade_Type,Mineral,Subtype
IRAN,2023-2024,0.02,2024,Export,Lithium,Raw (Ore)
IRAQ,2023-2024,0.22,2024,Export,Lithium,Raw (Ore)
ITALY,2023-2024,5.31,2024,Export,Lithium,Raw (Ore)
JAPAN,2023-2024,3.1,2024,Export,Lithium,Raw (Ore)
JORDAN,2023-2024,0.02,2024,Export,Lithium,Raw (Ore)
KENYA,2023-2024,0.16,2024,Export,Lithium,Raw (Ore)
KUWAIT,2023-2024,0.37,2024,Export,Lithium,Raw (Ore)
LIBYA,2023-2024,0.21,2024,Export,Lithium,Raw (Ore)
MALAYSIA,2023-2024,1.36,2024,Export,Lithium,Raw (Ore)
MALDIVES,2023-2024,0.01,2024,Export,Lithium,Raw (Ore)
MAURITIUS,2023-2024,0.02,2024,Export,Lithium,Raw (Ore)
MEXICO,2023-2024,4.3,2024,Export,Lithium,Raw (Ore)
MOROCCO,2023-2024,0.15,2024,Export,Lithium,Raw (Ore)
MOZAMBIQUE,2023-2024,0.05,2024,Export,Lithium,Raw (Ore)
NEPAL,2023-2024,7.39,2024,Export,Lithium,Raw (Ore)
NETHERLAND,2023-2024,0.05,2024,Export,Lithium,Raw (Ore)
NEW ZEALAND,2023-2024,0.62,2024,Export,Lithium,Raw (Ore)
NIGERIA,2023-2024,0.02,2024,Export,Lithium,Raw (Ore)
NORWAY,2023-2024,0.13,2024,Export,Lithium,Raw (Ore)
OMAN,2023-2024,0.07,2024,Export,Lithium,Raw (Ore)
PAPUA N GNA,2023-2024,0.18,2024,Export,Lithium,Raw (Ore)
PERU,2023-2024,0.07,2024,Export,Lithium,Raw (Ore)
QATAR,2023-2024,0.17,2024,Export,Lithium,Raw (Ore)
RUSSIA,2023-2024,14.38,2024,Export,Lithium,Raw (Ore)
SAUDI ARAB,2023-2024,17.45,2024,Export,Lithium,Raw (Ore)
SENEGAL,2023-2024,0.05,2024,Export,Lithium,Raw (Ore)
SINGAPORE,2023-2024,0.19,2024,Export,Lithium,Raw (Ore)
SLOVENIA,2023-2024,0.05,2024,Export,Lithium,Raw (Ore)
SOUTH AFRICA,2023-2024,0.36,2024,Export,Lithium,Raw (Ore)
SPAIN,2023-2024,29.1,2024,Export,Lithium,Raw (Ore)
SRI LANKA DSR,2023-2024,1.3,2024,Export,Lithium,Raw (Ore)
SWITZERLAND,2023-2024,0.03,2024,Export,Lithium,Raw (Ore)
TAIWAN,2023-2024,0.05,2024,Export,Lithium,Raw (Ore)
TANZANIA REP,2023-2024,0.04,2024,Export,Lithium,Raw (Ore)
THAILAND,2023-2024,1.57,2024,Export,Lithium,Raw (Ore)
TRINIDAD,2023-2024,0.03,2024,Export,Lithium,Raw (Ore)
TUNISIA,2023-2024,0.01,2024,Export,Lithium,Raw (Ore)
TURKEY,2023-2024,74.42,2024,Export,Lithium,Raw (Ore)
U ARAB EMTS,2023-2024,95.79,2024,Export,Lithium,Raw (Ore)
U K,2023-2024,1.21,2024,Export,Lithium,Raw (Ore)
U S A,2023-2024,1.61,2024,Export,Lithium,Raw (Ore)
UGANDA,2023-2024,0.02,2024,Export,Lithium,Raw (Ore)
UKRAINE,2023-2024,0.02,2024,Export,Lithium,Raw (Ore)
UZBEKISTAN,2023-2024,0.06,2024,Export,Lithium,Raw (Ore)
VIETNAM SOC REP,2023-2024,0.01,2024,Export,Lithium,Raw (Ore)
ZAMBIA,2023-2024,0.07,2024,Export,Lithium,Raw (Ore)
ALGERIA,2024-2025,0.18,2025,Export,Lithium,Raw (Ore)
ANGOLA,2024-2025,1.15,2025,Export,Lithium,Raw (Ore)
AUSTRALIA,2024-2025,2.22,2025,Export,Lithium,Raw (Ore)
BAHARAIN IS,2024-2025,0.66,2025,Export,Lithium,Raw (Ore)
BANGLADESH PR,2024-2025,7.6,2025,Export,Lithium,Raw (Ore)
BELGIUM,2024-2025,18.59,2025,Export,Lithium,Raw (Ore)
BHUTAN,2024-2025,0.56,2025,Export,Lithium,Raw (Ore)
BRUNEI,2024-2025,0.2,2025,Export,Lithium,Raw (Ore)
BULGARIA,2024-2025,0.05,2025,Export,Lithium,Raw (Ore)
CAMEROON,2024-2025,0.36,2025,Export,Lithium,Raw (Ore)
CHINA P RP,2024-2025,0.46,2025,Export,Lithium,Raw (Ore)
CONGO D. REP.,2024-2025,0.04,2025,Export,Lithium,Raw (Ore)
CONGO P REP,2024-2025,0.81,2025,Export,Lithium,Raw (Ore)
ECUADOR,2024-2025,0.04,2025,Export,Lithium,Raw (Ore)
EGYPT A RP,2024-2025,1.62,2025,Export,Lithium,Raw (Ore)
FRANCE,2024-2025,0.69,2025,Export,Lithium,Raw (Ore)
GABON,2024-2025,1.24,2025,Export,Lithium,Raw (Ore)
GERMANY,2024-2025,2.28,2025,Export,Lithium,Raw (Ore)
GREECE,2024-2025,0.1,2025,Export,Lithium,Raw (Ore)
GUYANA,2024-2025,0.37,2025,Export,Lithium,Raw (Ore)
HUNGARY,2024-2025,2.83,2025,Export,Lithium,Raw (Ore)
INDONESIA,2024-2025,2.84,2025,Export,Lithium,Raw (Ore)
IRAQ,2024-2025,0.14,2025,Export,Lithium,Raw (Ore)
ITALY,2024-2025,5.61,2025,Export,Lithium,Raw (Ore)
JAPAN,2024-2025,4.69,2025,Export,Lithium,Raw (Ore)
JORDAN,2024-2025,0.01,2025,Export,Lithium,Raw (Ore)
KENYA,2024-2025,0.64,2025,Export,Lithium,Raw (Ore)
KUWAIT,2024-2025,0.68,2025,Export,Lithium,Raw (Ore)
LIBYA,2024-2025,0.61,2025,Export,Lithium,Raw (Ore)
MALAYSIA,2024-2025,1.22,2025,Export,Lithium,Raw (Ore)
MAURITIUS,2024-2025,0.09,2025,Export,Lithium,Raw (Ore)
MEXICO,2024-2025,0.2,2025,Export,Lithium,Raw (Ore)
MOZAMBIQUE,2024-2025,0.29,2025,Export,Lithium,Raw (Ore)
NEPAL,2024-2025,8.81,2025,Export,Lithium,Raw (Ore)
NEW ZEALAND,2024-2025,0.29,2025,Export,Lithium,Raw (Ore)
NIGERIA,2024-2025,0.19,2025,Export,Lithium,Raw (Ore)
OMAN,2024-2025,0.06,2025,Export,Lithium,Raw (Ore)
PERU,2024-2025,0.09,2025,Export,Lithium,Raw (Ore)
PHILIPPINES,2024-2025,2.15,2025,Export,Lithium,Raw (Ore)
POLAND,2024-2025,0.48,2025,Export,Lithium,Raw (Ore)
QATAR,2024-2025,1.2,2025,Export,Lithium,Raw (Ore)
RUSSIA,2024-2025,33.24,2025,Export,Lithium,Raw (Ore)
SAUDI ARAB,2024-2025,9.27,2025,Export,Lithium,Raw (Ore)
SEYCHELLES,2024-2025,0.01,2025,Export,Lithium,Raw (Ore)
SINGAPORE,2024-2025,0.14,2025,Export,Lithium,Raw (Ore)
SLOVENIA,2024-2025,0.03,2025,Export,Lithium,Raw (Ore)
SOUTH AFRICA,2024-2025,1.27,2025,Export,Lithium,Raw (Ore)
SPAIN,2024-2025,20.9,2025,Export,Lithium,Raw (Ore)
SRI LANKA DSR,2024-2025,2.15,2025,Export,Lithium,Raw (Ore)
SUDAN,2024-2025,0.01,2025,Export,Lithium,Raw (Ore)
TANZANIA REP,2024-2025,0.03,2025,Export,Lithium,Raw (Ore)
THAILAND,2024-2025,2.14,2025,Export,Lithium,Raw (Ore)
TRINIDAD,2024-2025,0.06,2025,Export,Lithium,Raw (Ore)
TURKEY,2024-2025,22.41,2025,Export,Lithium,Raw (Ore)
U ARAB EMTS,2024-2025,67.14,2025,Export,Lithium,Raw (Ore)
U K,2024-2025,0.76,2025,Export,Lithium,Raw (Ore)
U S A,2024-2025,2.94,2025,Export,Lithium,Raw (Ore)
YEMEN REPUBLC,2024-2025,0.02,2025,Export,Lithium,Raw (Ore)
ZAMBIA,2024-2025,0.03,2025,Export,Lithium,Raw (Ore)
ARGENTINA,2017-2018,15.05,2018,Import,Lithium,Carbonate
AUSTRIA,2017-2018,0.36,2018,Import,Lithium,Carbonate
BELGIUM,2017-2018,1.75,2018,Import,Lithium,Carbonate
CHILE,2017-2018,34.6,2018,Import,Lithium,Carbonate
FRANCE,2017-2018,0.41,2018,Import,Lithium,Carbonate
IRELAND,2017-2018,3.22,2018,Import,Lithium,Carbonate
ITALY,2017-2018,0.11,2018,Import,Lithium,Carbonate
JAPAN,2017-2018,0.04,2018,Import,Lithium,Carbonate
SLOVENIA,2017-2018,3.5,2018,Import,Lithium,Carbonate
U K,2017-2018,1.97,2018,Import,Lithium,Carbonate
U S A,2017-2018,22.75,2018,Import,Lithium,Carbonate
ARGENTINA,2018-2019,2.8,2019,Import,Lithium,Carbonate
AUSTRIA,2018-2019,2.22,2019,Import,Lithium,Carbonate
BELGIUM,2018-2019,16.66,2019,Import,Lithium,Carbonate
CHILE,2018-2019,28.09,2019,Import,Lithium,Carbonate
CHINA P RP,2018-2019,14.44,2019,Import,Lithium,Carbonate
FRANCE,2018-2019,0.41,2019,Import,Lithium,Carbonate
GERMANY,2018-2019,0.01,2019,Import,Lithium,Carbonate
IRELAND,2018-2019,1.66,2019,Import,Lithium,Carbonate
ITALY,2018-2019,0.2,2019,Import,Lithium,Carbonate
SINGAPORE,2018-2019,0.95,2019,Import,Lithium,Carbonate
SLOVENIA,2018-2019,4.19,2019,Import,Lithium,Carbonate
U K,2018-2019,2.71,2019,Import,Lithium,Carbonate
U S A,2018-2019,34.12,2019,Import,Lithium,Carbonate
ARGENTINA,2019-2020,4.65,2020,Import,Lithium,Carbonate
BELGIUM,2019-2020,17.37,2020,Import,Lithium,Carbonate
CHILE,2019-2020,9.39,2020,Import,Lithium,Carbonate
CHINA P RP,2019-2020,4.51,2020,Import,Lithium,Carbonate
GERMANY,2019-2020,0.11,2020,Import,Lithium,Carbonate
IRELAND,2019-2020,0.36,2020,Import,Lithium,Carbonate
ITALY,2019-2020,0.18,2020,Import,Lithium,Carbonate
JAPAN,2019-2020,1.22,2020,Import,Lithium,Carbonate
MALAYSIA,2019-2020,0.11,2020,Import,Lithium,Carbonate
NETHERLAND,2019-2020,1.44,2020,Import,Lithium,Carbonate
SINGAPORE,2019-2020,6.05,2020,Import,Lithium,Carbonate
SLOVENIA,2019-2020,4.52,2020,Import,Lithium,Carbonate
U K,2019-2020,1.46,2020,Import,Lithium,Carbonate
U S A,2019-2020,28.09,2020,Import,Lithium,Carbonate
ARGENTINA,2020-2021,2.57,2021,Import,Lithium,Carbonate
AUSTRIA,2020-2021,0.88,2021,Import,Lithium,Carbonate
BELGIUM,2020-2021,12.92,2021,Import,Lithium,Carbonate
CANADA,2020-2021,0.34,2021,Import,Lithium,Carbonate
CHILE,2020-2021,4.71,2021,Import,Lithium,Carbonate
CHINA P RP,2020-2021,2.71,2021,Import,Lithium,Carbonate
GERMANY,2020-2021,4.83,2021,Import,Lithium,Carbonate
IRELAND,2020-2021,1.62,2021,Import,Lithium,Carbonate
ITALY,2020-2021,0.08,2021,Import,Lithium,Carbonate
JAPAN,2020-2021,0.01,2021,Import,Lithium,Carbonate
NETHERLAND,2020-2021,0.43,2021,Import,Lithium,Carbonate
SINGAPORE,2020-2021,5.62,2021,Import,Lithium,Carbonate
U K,2020-2021,0.59,2021,Import,Lithium,Carbonate
U S A,2020-2021,26.12,2021,Import,Lithium,Carbonate
ARGENTINA,2021-2022,3.06,2022,Import,Lithium,Carbonate
AUSTRIA,2021-2022,3.46,2022,Import,Lithium,Carbonate
BELGIUM,2021-2022,25.74,2022,Import,Lithium,Carbonate
CANADA,2021-2022,1.46,2022,Import,Lithium,Carbonate
CHILE,2021-2022,2.09,2022,Import,Lithium,Carbonate
CHINA P RP,2021-2022,2.62,2022,Import,Lithium,Carbonate
GERMANY,2021-2022,2.77,2022,Import,Lithium,Carbonate
IRELAND,2021-2022,1.26,2022,Import,Lithium,Carbonate
ITALY,2021-2022,0.12,2022,Import,Lithium,Carbonate
NETHERLAND,2021-2022,0.84,2022,Import,Lithium,Carbonate
SINGAPORE,2021-2022,1.35,2022,Import,Lithium,Carbonate
SLOVENIA,2021-2022,3.47,2022,Import,Lithium,Carbonate
U K,2021-2022,1.24,2022,Import,Lithium,Carbonate
U S A,2021-2022,15.36,2022,Import,Lithium,Carbonate
ARGENTINA,2022-2023,11.91,2023,Import,Lithium,Carbonate
BELGIUM,2022-2023,95.33,2023,Import,Lithium,Carbonate
CHILE,2022-2023,2.34,2023,Import,Lithium,Carbonate
CHINA P RP,2022-2023,0.02,2023,Import,Lithium,Carbonate
GERMANY,2022-2023,5.91,2023,Import,Lithium,Carbonate
IRELAND,2022-2023,1.0,2023,Import,Lithium,Carbonate
NETHERLAND,2022-2023,1.76,2023,Import,Lithium,Carbonate
SLOVENIA,2022-2023,4.73,2023,Import,Lithium,Carbonate
U K,2022-2023,22.9,2023,Import,Lithium,Carbonate
U S A,2022-2023,33.11,2023,Import,Lithium,Carbonate
ARGENTINA,2023-2024,31.27,2024,Import,Lithium,Carbonate
BELGIUM,2023-2024,38.61,2024,Import,Lithium,Carbonate
BRAZIL,2023-2024,14.38,2024,Import,Lithium,Carbonate
CHILE,2023-2024,3.04,2024,Import,Lithium,Carbonate
CHINA P RP,2023-2024,32.72,2024,Import,Lithium,Carbonate
GERMANY,2023-2024,13.41,2024,Import,Lithium,Carbonate
IRELAND,2023-2024,1.9,2024,Import,Lithium,Carbonate
JAPAN,2023-2024,0.32,2024,Import,Lithium,Carbonate
NETHERLAND,2023-2024,0.99,2024,Import,Lithium,Carbonate
SINGAPORE,2023-2024,0.14,2024,Import,Lithium,Carbonate
SLOVENIA,2023-2024,9.05,2024,Import,Lithium,Carbonate
U K,2023-2024,6.09,2024,Import,Lithium,Carbonate
U S A,2023-2024,51.73,2024,Import,Lithium,Carbonate
BELGIUM,2024-2025,8.26,2025,Import,Lithium,Carbonate
BRAZIL,2024-2025,0.14,2025,Import,Lithium,Carbonate
CANADA,2024-2025,5.99,2025,Import,Lithium,Carbonate
CHILE,2024-2025,13.76,2025,Import,Lithium,Carbonate
CHINA P RP,2024-2025,27.59,2025,Import,Lithium,Carbonate
GERMANY,2024-2025,9.31,2025,Import,Lithium,Carbonate
IRELAND,2024-2025,1.9,2025,Import,Lithium,Carbonate
ITALY,2024-2025,0.07,2025,Import,Lithium,Carbonate
JAPAN,2024-2025,0.59,2025,Import,Lithium,Carbonate
THAILAND,2024-2025,0.16,2025,Import,Lithium,Carbonate
U ARAB EMTS,2024-2025,0.02,2025,Import,Lithium,Carbonate
U K,2024-2025,2.42,2025,Import,Lithium,Carbonate
U S A,2024-2025,33.47,2025,Import,Lithium,Carbonate
BANGLADESH PR,2017-2018,0.06,2018,Export,Lithium,Carbonate
GERMANY,2017-2018,0.09,2018,Export,Lithium,Carbonate
GHANA,2017-2018,0.01,2018,Export,Lithium,Carbonate
ISRAEL,2017-2018,0.04,2018,Export,Lithium,Carbonate
JAPAN,2017-2018,0.12,2018,Export,Lithium,Carbonate
NEPAL,2017-2018,0.21,2018,Export,Lithium,Carbonate
RUSSIA,2017-2018,13.02,2018,Export,Lithium,Carbonate
SINGAPORE,2017-2018,0.05,2018,Export,Lithium,Carbonate
TAIWAN,2017-2018,0.15,2018,Export,Lithium,Carbonate
THAILAND,2017-2018,0.16,2018,Export,Lithium,Carbonate
U ARAB EMTS,2017-2018,0.14,2018,Export,Lithium,Carbonate
U S A,2017-2018,0.19,2018,Export,Lithium,Carbonate
URUGUAY,2017-2018,0.07,2018,Export,Lithium,Carbonate
VIETNAM SOC REP,2017-2018,1.7,2018,Export,Lithium,Carbonate
BANGLADESH PR,2018-2019,0.09,2019,Export,Lithium,Carbonate
BOSNIA-HRZGOVIN,2018-2019,0.01,2019,Export,Lithium,Carbonate
ECUADOR,2018-2019,0.06,2019,Export,Lithium,Carbonate
GERMANY,2018-2019,0.01,2019,Export,Lithium,Carbonate
HONDURAS,2018-2019,0.09,2019,Export,Lithium,Carbonate
ISRAEL,2018-2019,0.01,2019,Export,Lithium,Carbonate
MALAYSIA,2018-2019,0.43,2019,Export,Lithium,Carbonate
NICARAGUA,2018-2019,0.1,2019,Export,Lithium,Carbonate
PERU,2018-2019,0.02,2019,Export,Lithium,Carbonate
RUSSIA,2018-2019,13.29,2019,Export,Lithium,Carbonate
SPAIN,2018-2019,0.07,2019,Export,Lithium,Carbonate
SRI LANKA DSR,2018-2019,0.01,2019,Export,Lithium,Carbonate
U S A,2018-2019,0.38,2019,Export,Lithium,Carbonate
URUGUAY,2018-2019,0.19,2019,Export,Lithium,Carbonate
VIETNAM SOC REP,2018-2019,4.62,2019,Export,Lithium,Carbonate
BANGLADESH PR,2019-2020,0.33,2020,Export,Lithium,Carbonate
CHINA P RP,2019-2020,0.29,2020,Export,Lithium,Carbonate
DOMINIC REP,2019-2020,0.09,2020,Export,Lithium,Carbonate
EGYPT A RP,2019-2020,0.04,2020,Export,Lithium,Carbonate
IRAN,2019-2020,5.24,2020,Export,Lithium,Carbonate
ISRAEL,2019-2020,0.02,2020,Export,Lithium,Carbonate
LEBANON,2019-2020,0.03,2020,Export,Lithium,Carbonate
MALAYSIA,2019-2020,0.48,2020,Export,Lithium,Carbonate
NEPAL,2019-2020,0.16,2020,Export,Lithium,Carbonate
NIGERIA,2019-2020,0.05,2020,Export,Lithium,Carbonate
PERU,2019-2020,0.01,2020,Export,Lithium,Carbonate
SAUDI ARAB,2019-2020,0.04,2020,Export,Lithium,Carbonate
SWITZERLAND,2019-2020,0.02,2020,Export,Lithium,Carbonate
TAIWAN,2019-2020,0.14,2020,Export,Lithium,Carbonate
THAILAND,2019-2020,0.07,2020,Export,Lithium,Carbonate
U ARAB EMTS,2019-2020,0.04,2020,Export,Lithium,Carbonate
U S A,2019-2020,0.63,2020,Export,Lithium,Carbonate
URUGUAY,2019-2020,0.04,2020,Export,Lithium,Carbonate
VIETNAM SOC REP,2019-2020,3.9,2020,Export,Lithium,Carbonate
BANGLADESH PR,2020-2021,0.88,2021,Export,Lithium,Carbonate
ECUADOR,2020-2021,0.03,2021,Export,Lithium,Carbonate
EGYPT A RP,2020-2021,0.05,2021,Export,Lithium,Carbonate
GERMANY,2020-2021,0.05,2021,Export,Lithium,Carbonate
JAPAN,2020-2021,0.01,2021,Export,Lithium,Carbonate
KENYA,2020-2021,0.02,2021,Export,Lithium,Carbonate
MALAYSIA,2020-2021,0.4,2021,Export,Lithium,Carbonate
NEPAL,2020-2021,0.07,2021,Export,Lithium,Carbonate
SINGAPORE,2020-2021,0.01,2021,Export,Lithium,Carbonate
SRI LANKA DSR,2020-2021,0.01,2021,Export,Lithium,Carbonate
SWITZERLAND,2020-2021,0.19,2021,Export,Lithium,Carbonate
TAIWAN,2020-2021,0.07,2021,Export,Lithium,Carbonate
THAILAND,2020-2021,0.4,2021,Export,Lithium,Carbonate
U S A,2020-2021,0.06,2021,Export,Lithium,Carbonate
URUGUAY,2020-2021,0.19,2021,Export,Lithium,Carbonate
VIETNAM SOC REP,2020-2021,2.96,2021,Export,Lithium,Carbonate
ARGENTINA,2021-2022,0.02,2022,Export,Lithium,Carbonate
BANGLADESH PR,2021-2022,0.71,2022,Export,Lithium,Carbonate
CANADA,2021-2022,0.01,2022,Export,Lithium,Carbonate
DOMINIC REP,2021-2022,0.1,2022,Export,Lithium,Carbonate
ECUADOR,2021-2022,0.1,2022,Export,Lithium,Carbonate
EGYPT A RP,2021-2022,0.01,2022,Export,Lithium,Carbonate
GERMANY,2021-2022,0.01,2022,Export,Lithium,Carbonate
ISRAEL,2021-2022,0.04,2022,Export,Lithium,Carbonate
KENYA,2021-2022,0.02,2022,Export,Lithium,Carbonate
KOREA RP,2021-2022,0.02,2022,Export,Lithium,Carbonate
MALAYSIA,2021-2022,0.57,2022,Export,Lithium,Carbonate
MOROCCO,2021-2022,0.01,2022,Export,Lithium,Carbonate
NEPAL,2021-2022,0.18,2022,Export,Lithium,Carbonate
NIGERIA,2021-2022,0.01,2022,Export,Lithium,Carbonate
PARAGUAY,2021-2022,0.11,2022,Export,Lithium,Carbonate
SPAIN,2021-2022,0.08,2022,Export,Lithium,Carbonate
SRI LANKA DSR,2021-2022,0.02,2022,Export,Lithium,Carbonate
SWITZERLAND,2021-2022,1.13,2022,Export,Lithium,Carbonate
TAIWAN,2021-2022,0.07,2022,Export,Lithium,Carbonate
THAILAND,2021-2022,0.5,2022,Export,Lithium,Carbonate
TURKEY,2021-2022,0.02,2022,Export,Lithium,Carbonate
U ARAB EMTS,2021-2022,1.44,2022,Export,Lithium,Carbonate
U S A,2021-2022,1.2,2022,Export,Lithium,Carbonate
URUGUAY,2021-2022,0.23,2022,Export,Lithium,Carbonate
VIETNAM SOC REP,2021-2022,3.83,2022,Export,Lithium,Carbonate
AUSTRALIA,2022-2023,0.07,2023,Export,Lithium,Carbonate
BANGLADESH PR,2022-2023,1.01,2023,Export,Lithium,Carbonate
BELGIUM,2022-2023,0.34,2023,Export,Lithium,Carbonate
CHINA P RP,2022-2023,27.32,2023,Export,Lithium,Carbonate
COLOMBIA,2022-2023,0.11,2023,Export,Lithium,Carbonate
ECUADOR,2022-2023,0.47,2023,Export,Lithium,Carbonate
KOREA RP,2022-2023,0.01,2023,Export,Lithium,Carbonate
MALAYSIA,2022-2023,0.84,2023,Export,Lithium,Carbonate
NEPAL,2022-2023,0.28,2023,Export,Lithium,Carbonate
RUSSIA,2022-2023,38.24,2023,Export,Lithium,Carbonate
SRI LANKA DSR,2022-2023,0.07,2023,Export,Lithium,Carbonate
THAILAND,2022-2023,3.15,2023,Export,Lithium,Carbonate
TURKEY,2022-2023,0.03,2023,Export,Lithium,Carbonate
U ARAB EMTS,2022-2023,0.07,2023,Export,Lithium,Carbonate
U S A,2022-2023,2.54,2023,Export,Lithium,Carbonate
URUGUAY,2022-2023,0.74,2023,Export,Lithium,Carbonate
VIETNAM SOC REP,2022-2023,2.83,2023,Export,Lithium,Carbonate
BANGLADESH PR,2023-2024,0.19,2024,Export,Lithium,Carbonate
BELGIUM,2023-2024,0.06,2024,Export,Lithium,Carbonate
CHINA P RP,2023-2024,20.25,2024,Export,Lithium,Carbonate
COLOMBIA,2023-2024,0.19,2024,Export,Lithium,Carbonate
DOMINIC REP,2023-2024,0.52,2024,Export,Lithium,Carbonate
ECUADOR,2023-2024,0.86,2024,Export,Lithium,Carbonate
GERMANY,2023-2024,0.12,2024,Export,Lithium,Carbonate
ITALY,2023-2024,0.05,2024,Export,Lithium,Carbonate
JORDAN,2023-2024,0.01,2024,Export,Lithium,Carbonate
KOREA RP,2023-2024,1.84,2024,Export,Lithium,Carbonate
MALAYSIA,2023-2024,0.78,2024,Export,Lithium,Carbonate
NEPAL,2023-2024,0.31,2024,Export,Lithium,Carbonate
PERU,2023-2024,0.01,2024,Export,Lithium,Carbonate
RUSSIA,2023-2024,4.75,2024,Export,Lithium,Carbonate
SPAIN,2023-2024,0.15,2024,Export,Lithium,Carbonate
SRI LANKA DSR,2023-2024,2.16,2024,Export,Lithium,Carbonate
TAIWAN,2023-2024,0.08,2024,Export,Lithium,Carbonate
THAILAND,2023-2024,1.12,2024,Export,Lithium,Carbonate
TURKEY,2023-2024,13.49,2024,Export,Lithium,Carbonate
U ARAB EMTS,2023-2024,7.53,2024,Export,Lithium,Carbonate
U S A,2023-2024,3.37,2024,Export,Lithium,Carbonate
URUGUAY,2023-2024,0.88,2024,Export,Lithium,Carbonate
VIETNAM SOC REP,2023-2024,2.4,2024,Export,Lithium,Carbonate
ARGENTINA,2024-2025,0.04,2025,Export,Lithium,Carbonate
BANGLADESH PR,2024-2025,2.84,2025,Export,Lithium,Carbonate
BELGIUM,2024-2025,0.3,2025,Export,Lithium,Carbonate
BRAZIL,2024-2025,0.23,2025,Export,Lithium,Carbonate
CANADA,2024-2025,3.58,2025,Export,Lithium,Carbonate
CROATIA,2024-2025,0.01,2025,Export,Lithium,Carbonate
DENMARK,2024-2025,1.32,2025,Export,Lithium,Carbonate
DOMINIC REP,2024-2025,0.09,2025,Export,Lithium,Carbonate
ECUADOR,2024-2025,1.04,2025,Export,Lithium,Carbonate
EGYPT A RP,2024-2025,2.26,2025,Export,Lithium,Carbonate
FINLAND,2024-2025,0.32,2025,Export,Lithium,Carbonate
HONDURAS,2024-2025,0.13,2025,Export,Lithium,Carbonate
ITALY,2024-2025,0.3,2025,Export,Lithium,Carbonate
KENYA,2024-2025,0.11,2025,Export,Lithium,Carbonate
KOREA RP,2024-2025,11.67,2025,Export,Lithium,Carbonate
MALAYSIA,2024-2025,0.66,2025,Export,Lithium,Carbonate
MOROCCO,2024-2025,0.03,2025,Export,Lithium,Carbonate
NEPAL,2024-2025,0.44,2025,Export,Lithium,Carbonate
NETHERLAND,2024-2025,0.24,2025,Export,Lithium,Carbonate
OMAN,2024-2025,0.06,2025,Export,Lithium,Carbonate
PAKISTAN IR,2024-2025,0.06,2025,Export,Lithium,Carbonate
PERU,2024-2025,0.01,2025,Export,Lithium,Carbonate
RUSSIA,2024-2025,0.05,2025,Export,Lithium,Carbonate
SAUDI ARAB,2024-2025,0.09,2025,Export,Lithium,Carbonate
SPAIN,2024-2025,1.42,2025,Export,Lithium,Carbonate
SRI LANKA DSR,2024-2025,1.43,2025,Export,Lithium,Carbonate
TAIWAN,2024-2025,0.03,2025,Export,Lithium,Carbonate
THAILAND,2024-2025,2.15,2025,Export,Lithium,Carbonate
TURKEY,2024-2025,0.01,2025,Export,Lithium,Carbonate
U ARAB EMTS,2024-2025,2.19,2025,Export,Lithium,Carbonate
U S A,2024-2025,0.31,2025,Export,Lithium,Carbonate
URUGUAY,2024-2025,1.01,2025,Export,Lithium,Carbonate
VIETNAM SOC REP,2024-2025,2.86,2025,Export,Lithium,Carbonate
ZAMBIA,2024-2025,0.01,2025,Export,Lithium,Carbonate
